id_diabete,annee,patho_niv1,patho_niv2,patho_niv3,top,region,dept,ntop,npop,prevalence,libelle_classe_age,libelle_sexe
1,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,1,999,0,9240,,de 0 a  4 ans,hommes
2,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,3,973,0,11040,,de 0 a  4 ans,hommes
3,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,4,974,0,32400,,de 0 a  4 ans,hommes
4,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,4,999,0,32400,,de 0 a  4 ans,hommes
5,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,6,999,0,8090,,de 0 a  4 ans,hommes
6,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,11,78,10,45960,0.03,de 0 a  4 ans,hommes
7,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,11,91,30,43670,0.057,de 0 a  4 ans,hommes
8,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,24,18,0,6730,,de 0 a  4 ans,hommes
9,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,24,28,0,11650,,de 0 a  4 ans,hommes
10,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,24,999,30,64200,0.042,de 0 a  4 ans,hommes
11,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,27,21,0,12800,,de 0 a  4 ans,hommes
12,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,27,25,0,14620,,de 0 a  4 ans,hommes
13,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,27,89,0,7640,,de 0 a  4 ans,hommes
14,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,28,14,0,16500,,de 0 a  4 ans,hommes
15,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,32,2,0,13580,,de 0 a  4 ans,hommes
16,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,32,60,0,23920,,de 0 a  4 ans,hommes
17,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,32,62,20,39810,0.04,de 0 a  4 ans,hommes
18,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,44,51,0,14700,,de 0 a  4 ans,hommes
19,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,44,57,10,23070,0.056,de 0 a  4 ans,hommes
20,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,44,67,0,29610,,de 0 a  4 ans,hommes
21,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,44,68,0,19340,,de 0 a  4 ans,hommes
22,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,44,88,0,7880,,de 0 a  4 ans,hommes
23,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,52,49,0,21840,,de 0 a  4 ans,hommes
24,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,52,999,30,99880,0.025,de 0 a  4 ans,hommes
25,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,53,22,0,13060,,de 0 a  4 ans,hommes
26,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,53,35,0,29490,,de 0 a  4 ans,hommes
27,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,53,999,20,80210,0.026,de 0 a  4 ans,hommes
28,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,75,19,0,4680,,de 0 a  4 ans,hommes
29,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,75,23,0,1960,,de 0 a  4 ans,hommes
30,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,75,24,0,7730,,de 0 a  4 ans,hommes
31,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,76,34,10,31010,0.039,de 0 a  4 ans,hommes
32,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,76,999,50,145090,0.035,de 0 a  4 ans,hommes
33,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,84,1,0,17930,,de 0 a  4 ans,hommes
34,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,84,3,0,6940,,de 0 a  4 ans,hommes
35,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,84,42,0,20510,,de 0 a  4 ans,hommes
36,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,84,74,0,23670,,de 0 a  4 ans,hommes
37,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,84,999,70,220160,0.033,de 0 a  4 ans,hommes
38,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,93,5,0,3040,,de 0 a  4 ans,hommes
39,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,94,,0,3200,,de 0 a  4 ans,hommes
40,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,3,999,0,10520,,de 0 a  4 ans,femmes
41,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,4,974,0,31350,,de 0 a  4 ans,femmes
42,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,11,92,10,49260,0.026,de 0 a  4 ans,femmes
43,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,11,93,10,59760,0.022,de 0 a  4 ans,femmes
44,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,11,94,10,44080,0.032,de 0 a  4 ans,femmes
45,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,11,95,10,43850,0.03,de 0 a  4 ans,femmes
46,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,24,18,0,6360,,de 0 a  4 ans,femmes
47,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,24,36,0,4060,,de 0 a  4 ans,femmes
48,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,27,21,0,12340,,de 0 a  4 ans,femmes
49,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,27,25,0,13590,,de 0 a  4 ans,femmes
50,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,27,70,0,5030,,de 0 a  4 ans,femmes
51,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,27,999,30,62520,0.046,de 0 a  4 ans,femmes
52,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,32,999,40,158460,0.026,de 0 a  4 ans,femmes
53,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,44,57,0,21770,,de 0 a  4 ans,femmes
54,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,44,999,50,126120,0.036,de 0 a  4 ans,femmes
55,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,52,49,0,20640,,de 0 a  4 ans,femmes
56,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,52,999,30,94090,0.027,de 0 a  4 ans,femmes
57,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,53,999,20,75730,0.025,de 0 a  4 ans,femmes
58,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,75,40,0,8400,,de 0 a  4 ans,femmes
59,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,75,47,0,6870,,de 0 a  4 ans,femmes
60,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,75,64,0,14140,,de 0 a  4 ans,femmes
61,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,76,11,0,7700,,de 0 a  4 ans,femmes
62,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,76,65,0,4290,,de 0 a  4 ans,femmes
63,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,76,82,0,6090,,de 0 a  4 ans,femmes
64,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,76,9,0,3000,,de 0 a  4 ans,femmes
65,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,76,999,50,137370,0.034,de 0 a  4 ans,femmes
66,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,84,1,0,16820,,de 0 a  4 ans,femmes
67,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,84,38,10,34000,0.032,de 0 a  4 ans,femmes
68,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,84,63,0,15260,,de 0 a  4 ans,femmes
69,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,84,69,20,56210,0.041,de 0 a  4 ans,femmes
70,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,84,999,60,208000,0.03,de 0 a  4 ans,femmes
71,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,2,972,0,16320,,de 0 a  4 ans,tous sexes
72,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,6,976,0,15820,,de 0 a  4 ans,tous sexes
73,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,11,78,40,89450,0.04,de 0 a  4 ans,tous sexes
74,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,11,92,30,101480,0.033,de 0 a  4 ans,tous sexes
75,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,11,94,30,89840,0.038,de 0 a  4 ans,tous sexes
76,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,11,999,260,768550,0.034,de 0 a  4 ans,tous sexes
77,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,24,45,10,36980,0.035,de 0 a  4 ans,tous sexes
78,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,27,25,0,28210,,de 0 a  4 ans,tous sexes
79,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,27,39,0,11470,,de 0 a  4 ans,tous sexes
80,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,27,58,0,7570,,de 0 a  4 ans,tous sexes
81,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,27,89,10,15120,0.073,de 0 a  4 ans,tous sexes
82,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,27,90,0,6990,,de 0 a  4 ans,tous sexes
83,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,27,999,50,128320,0.038,de 0 a  4 ans,tous sexes
84,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,28,50,0,21420,,de 0 a  4 ans,tous sexes
85,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,28,76,30,67040,0.045,de 0 a  4 ans,tous sexes
86,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,28,999,60,163360,0.039,de 0 a  4 ans,tous sexes
87,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,32,59,50,147980,0.036,de 0 a  4 ans,tous sexes
88,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,44,10,0,14860,,de 0 a  4 ans,tous sexes
89,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,44,54,20,32810,0.046,de 0 a  4 ans,tous sexes
90,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,44,55,0,7760,,de 0 a  4 ans,tous sexes
91,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,44,8,0,12840,,de 0 a  4 ans,tous sexes
92,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,44,999,100,259410,0.037,de 0 a  4 ans,tous sexes
93,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,52,44,20,79420,0.019,de 0 a  4 ans,tous sexes
94,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,52,49,10,42480,0.026,de 0 a  4 ans,tous sexes
95,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,52,72,10,27520,0.04,de 0 a  4 ans,tous sexes
96,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,75,24,0,15000,,de 0 a  4 ans,tous sexes
97,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,75,33,30,83330,0.03,de 0 a  4 ans,tous sexes
98,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,75,86,0,19890,,de 0 a  4 ans,tous sexes
99,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,75,999,90,265380,0.032,de 0 a  4 ans,tous sexes
100,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,76,32,0,7080,,de 0 a  4 ans,tous sexes
101,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,76,46,0,6260,,de 0 a  4 ans,tous sexes
102,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,76,48,0,2840,,de 0 a  4 ans,tous sexes
103,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,76,82,0,12600,,de 0 a  4 ans,tous sexes
104,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,84,15,0,5200,,de 0 a  4 ans,tous sexes
105,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,84,3,0,13490,,de 0 a  4 ans,tous sexes
106,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,84,38,20,69650,0.033,de 0 a  4 ans,tous sexes
107,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,84,42,10,39870,0.03,de 0 a  4 ans,tous sexes
108,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,84,43,0,9860,,de 0 a  4 ans,tous sexes
109,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,84,74,20,46330,0.035,de 0 a  4 ans,tous sexes
110,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,93,13,40,118550,0.036,de 0 a  4 ans,tous sexes
111,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,94,,0,6930,,de 0 a  4 ans,tous sexes
112,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,94,999,10,13130,0.099,de 0 a  4 ans,tous sexes
113,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,2,972,0,9250,,de 5 a  9 ans,hommes
114,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,3,973,0,9890,,de 5 a  9 ans,hommes
115,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,4,999,40,34600,0.107,de 5 a  9 ans,hommes
116,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,6,976,0,5650,,de 5 a  9 ans,hommes
117,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,11,75,60,45890,0.129,de 5 a  9 ans,hommes
118,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,11,77,80,48150,0.166,de 5 a  9 ans,hommes
119,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,11,91,70,44830,0.152,de 5 a  9 ans,hommes
120,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,11,94,60,44260,0.127,de 5 a  9 ans,hommes
121,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,11,95,60,46220,0.132,de 5 a  9 ans,hommes
122,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,24,36,0,4840,,de 5 a  9 ans,hommes
123,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,24,41,20,8850,0.192,de 5 a  9 ans,hommes
124,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,24,999,90,71770,0.125,de 5 a  9 ans,hommes
125,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,27,70,0,6290,,de 5 a  9 ans,hommes
126,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,27,89,10,8840,0.158,de 5 a  9 ans,hommes
127,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,27,999,100,74940,0.133,de 5 a  9 ans,hommes
128,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,28,14,20,19010,0.116,de 5 a  9 ans,hommes
129,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,28,27,10,18230,0.071,de 5 a  9 ans,hommes
130,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,28,999,110,93740,0.121,de 5 a  9 ans,hommes
131,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,32,2,20,15630,0.147,de 5 a  9 ans,hommes
132,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,32,60,30,26570,0.12,de 5 a  9 ans,hommes
133,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,32,999,240,188340,0.125,de 5 a  9 ans,hommes
134,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,44,52,0,4340,,de 5 a  9 ans,hommes
135,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,44,8,0,7410,,de 5 a  9 ans,hommes
136,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,52,44,60,44730,0.13,de 5 a  9 ans,hommes
137,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,52,53,0,8860,,de 5 a  9 ans,hommes
138,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,53,22,30,15550,0.174,de 5 a  9 ans,hommes
139,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,53,29,20,24340,0.09,de 5 a  9 ans,hommes
140,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,75,16,0,8670,,de 5 a  9 ans,hommes
141,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,75,17,20,15850,0.12,de 5 a  9 ans,hommes
142,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,75,23,0,2290,,de 5 a  9 ans,hommes
143,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,75,24,10,9130,0.121,de 5 a  9 ans,hommes
144,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,75,47,10,8540,0.129,de 5 a  9 ans,hommes
145,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,75,79,0,10130,,de 5 a  9 ans,hommes
146,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,75,87,20,9270,0.194,de 5 a  9 ans,hommes
147,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,76,12,0,6640,,de 5 a  9 ans,hommes
148,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,76,30,30,21580,0.153,de 5 a  9 ans,hommes
149,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,76,32,0,4520,,de 5 a  9 ans,hommes
150,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,76,65,0,5420,,de 5 a  9 ans,hommes
151,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,76,82,0,7730,,de 5 a  9 ans,hommes
152,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,76,9,0,3710,,de 5 a  9 ans,hommes
153,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,84,42,30,23130,0.143,de 5 a  9 ans,hommes
154,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,84,63,20,17500,0.137,de 5 a  9 ans,hommes
155,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,84,69,90,61030,0.151,de 5 a  9 ans,hommes
156,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,84,7,0,8550,,de 5 a  9 ans,hommes
157,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,84,999,320,240200,0.133,de 5 a  9 ans,hommes
158,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,93,4,0,4200,,de 5 a  9 ans,hommes
159,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,93,84,40,17470,0.246,de 5 a  9 ans,hommes
160,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,94,999,10,7250,0.179,de 5 a  9 ans,hommes
161,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,99,999,2580,1962300,0.132,de 5 a  9 ans,hommes
162,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,1,971,0,10470,,de 5 a  9 ans,femmes
163,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,2,972,20,9070,0.176,de 5 a  9 ans,femmes
164,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,11,92,50,47660,0.103,de 5 a  9 ans,femmes
165,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,11,999,500,369070,0.136,de 5 a  9 ans,femmes
166,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,24,28,10,12450,0.112,de 5 a  9 ans,femmes
167,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,27,21,20,13390,0.142,de 5 a  9 ans,femmes
168,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,27,70,0,5980,,de 5 a  9 ans,femmes
169,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,27,71,20,13400,0.127,de 5 a  9 ans,femmes
170,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,27,999,90,70930,0.133,de 5 a  9 ans,femmes
171,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,28,27,20,17490,0.137,de 5 a  9 ans,femmes
172,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,28,61,0,6540,,de 5 a  9 ans,femmes
173,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,32,59,120,79450,0.152,de 5 a  9 ans,femmes
174,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,32,60,40,25020,0.172,de 5 a  9 ans,femmes
175,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,32,62,50,43900,0.112,de 5 a  9 ans,femmes
176,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,44,54,30,17890,0.145,de 5 a  9 ans,femmes
177,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,44,88,10,8760,0.16,de 5 a  9 ans,femmes
178,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,52,53,0,8510,,de 5 a  9 ans,femmes
179,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,52,72,10,15480,0.078,de 5 a  9 ans,femmes
180,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,52,85,20,18230,0.121,de 5 a  9 ans,femmes
181,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,53,29,20,23020,0.091,de 5 a  9 ans,femmes
182,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,53,35,50,31490,0.143,de 5 a  9 ans,femmes
183,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,75,19,0,5070,,de 5 a  9 ans,femmes
184,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,75,24,0,8650,,de 5 a  9 ans,femmes
185,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,75,47,10,8180,0.171,de 5 a  9 ans,femmes
186,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,76,11,10,9130,0.153,de 5 a  9 ans,femmes
187,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,76,12,0,6260,,de 5 a  9 ans,femmes
188,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,76,46,0,3540,,de 5 a  9 ans,femmes
189,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,76,65,0,5090,,de 5 a  9 ans,femmes
190,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,76,999,220,155690,0.14,de 5 a  9 ans,femmes
191,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,84,1,20,18730,0.112,de 5 a  9 ans,femmes
192,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,84,42,30,21740,0.138,de 5 a  9 ans,femmes
193,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,84,7,0,8300,,de 5 a  9 ans,femmes
194,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,84,73,20,11620,0.172,de 5 a  9 ans,femmes
195,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,84,999,290,227650,0.129,de 5 a  9 ans,femmes
196,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,93,13,100,61020,0.169,de 5 a  9 ans,femmes
197,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,99,999,2420,1865900,0.13,de 5 a  9 ans,femmes
198,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,2,972,30,18320,0.136,de 5 a  9 ans,tous sexes
199,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,3,999,0,19240,,de 5 a  9 ans,tous sexes
200,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,11,75,110,90270,0.116,de 5 a  9 ans,tous sexes
201,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,11,92,120,97670,0.124,de 5 a  9 ans,tous sexes
202,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,11,93,180,115690,0.159,de 5 a  9 ans,tous sexes
203,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,24,18,10,14570,0.096,de 5 a  9 ans,tous sexes
204,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,24,36,0,9580,,de 5 a  9 ans,tous sexes
205,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,27,39,20,13320,0.158,de 5 a  9 ans,tous sexes
206,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,27,71,30,27500,0.095,de 5 a  9 ans,tous sexes
207,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,27,999,190,145880,0.133,de 5 a  9 ans,tous sexes
208,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,28,14,40,37040,0.1,de 5 a  9 ans,tous sexes
209,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,28,27,40,35720,0.104,de 5 a  9 ans,tous sexes
210,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,28,61,20,13340,0.142,de 5 a  9 ans,tous sexes
